,TimeSpent,PagesViewed,LeadStatus,EmailSent,LeadSource,PaymentHistory,Converted
149,5,10.0,3,0,1,0,0
150,60,5.0,2,1,1,1,0
151,28,14.0,2,1,8,1,0
152,18,11.0,1,1,1,0,0
153,45,6.0,1,1,8,1,0
154,33,4.0,1,1,3,1,0
155,8,9.0,3,0,7,1,0
156,56,9.0,1,1,1,1,0
157,47,14.0,3,1,8,0,0
158,52,7.0,3,1,1,0,0
159,41,8.0,3,1,7,0,0
160,37,5.0,2,1,3,0,0
161,47,13.0,1,0,2,0,0
162,29,9.0,3,1,7,1,0
163,48,7.0,1,1,8,1,0
164,47,6.0,3,1,3,1,0
165,12,2.0,1,1,3,0,0
166,54,8.0,3,1,8,0,0
167,35,10.0,2,1,7,0,0
168,13,4.0,3,1,8,1,0
169,50,6.0,3,1,2,1,0
170,43,8.0,2,1,2,1,0
171,16,5.0,2,1,3,1,0
172,54,6.0,3,1,7,0,0
173,39,7.0,3,1,1,0,0
174,38,6.0,1,1,8,1,0
175,18,7.0,1,1,7,0,0
176,13,8.0,1,1,8,0,0
177,13,7.0,2,1,3,0,0
178,46,15.0,2,1,2,1,0
179,42,15.0,3,1,3,1,0
180,38,3.0,2,1,2,1,0
181,20,6.0,1,1,8,0,0
182,53,8.0,1,0,1,1,0
183,36,10.0,3,1,3,1,0
184,23,4.0,1,1,2,0,0
185,31,11.0,3,1,1,1,0
186,9,10.0,3,1,7,0,0
187,16,10.0,3,0,7,0,0
188,15,8.0,1,1,3,1,0
189,6,7.0,2,1,2,0,0
190,34,10.0,1,0,7,0,0
191,8,7.0,3,1,3,1,0
192,33,13.0,2,1,7,1,0
193,18,5.0,1,1,3,1,0
194,9,5.0,2,1,3,0,0
195,44,13.0,2,1,8,0,0
196,36,6.0,3,0,3,1,0
197,9,6.0,1,1,3,0,0
198,35,13.0,3,1,3,0,0
199,25,12.0,2,1,3,0,0
200,50,3.0,2,0,2,1,0
201,34,4.0,3,1,2,0,0
202,30,7.0,1,1,7,0,0
203,16,9.0,1,1,1,0,0
204,37,9.0,1,1,1,1,0
205,18,11.0,3,1,3,1,0
206,33,3.0,3,1,7,1,0
207,43,3.0,1,1,1,1,0
208,60,11.0,3,1,8,1,0
209,29,13.0,2,1,3,1,0
210,36,11.0,1,1,7,1,0
211,28,14.0,3,1,2,0,0
212,29,5.0,1,1,3,1,0
213,30,9.0,3,0,3,1,0
214,19,13.0,1,0,1,0,0
215,49,2.0,1,1,3,0,0
216,34,10.0,1,0,2,1,0
217,30,12.0,3,1,3,0,0
218,20,8.0,3,1,2,1,0
219,52,15.0,3,1,8,1,0
220,59,6.0,2,0,2,1,0
221,33,12.0,1,1,2,0,0
222,17,2.0,2,1,8,0,0
223,54,4.0,3,1,2,0,0
224,17,13.0,1,1,3,1,0
225,60,14.0,1,1,1,1,0
226,56,7.0,3,1,3,0,0
227,59,11.0,2,1,8,0,0
228,26,9.0,3,1,1,1,0
229,21,15.0,1,1,8,1,0
230,34,9.0,3,0,3,1,0
231,14,15.0,1,1,3,1,0
232,53,2.0,1,1,3,1,0
233,52,8.0,3,0,1,1,0
234,22,7.0,3,1,2,1,0
235,6,2.0,3,1,1,1,0
236,9,10.0,2,1,3,0,0
237,38,7.0,1,1,1,1,0
238,43,11.0,1,0,7,0,0
239,9,12.0,1,1,7,0,0
240,28,14.0,3,1,2,0,0
241,44,15.0,2,1,1,1,0
242,50,15.0,3,0,1,0,0
243,44,10.0,3,0,2,1,0
244,11,13.0,3,1,8,0,0
245,5,7.0,3,1,3,0,0
246,40,12.0,3,1,7,0,0
247,48,11.0,2,1,1,0,0
248,26,6.0,1,1,7,1,0
249,31,3.0,2,1,7,0,0
250,52,10.0,1,1,8,1,0
251,52,3.0,2,1,1,1,0
252,45,6.0,1,1,2,0,0
253,39,13.0,3,1,3,0,0
254,54,7.0,3,1,8,1,0
255,38,4.0,1,0,8,1,0
256,29,9.0,1,1,7,0,0
257,12,5.0,1,1,3,1,0
258,26,13.0,1,1,3,0,0
259,58,3.0,1,1,3,0,0
260,28,10.0,1,1,8,1,0
261,28,4.0,3,0,3,1,0
262,55,13.0,3,1,8,1,0
263,17,12.0,2,1,8,1,0
264,25,6.0,1,1,8,1,0
265,9,5.0,1,1,8,1,0
266,52,10.0,2,1,8,1,0
267,20,5.0,1,1,7,1,0
268,25,12.0,2,0,3,1,0
269,48,6.0,1,1,3,1,0
270,51,7.0,1,1,8,0,0
271,41,14.0,2,1,8,0,0
272,15,6.0,1,1,2,1,0
273,60,4.0,2,1,7,1,0
274,8,3.0,2,1,1,0,0
275,34,3.0,1,1,2,0,0
276,30,8.0,1,1,7,1,0
277,31,6.0,2,1,1,1,0
278,36,6.0,1,1,3,1,0
279,43,8.0,1,1,1,0,0
280,38,10.0,3,1,2,0,0
281,49,3.0,2,1,1,1,0
282,38,15.0,1,1,1,1,0
283,44,12.0,1,1,8,1,0
284,42,8.0,1,1,3,0,0
285,31,15.0,1,1,3,1,0
286,37,4.0,1,1,8,1,0
287,21,8.0,1,1,3,0,0
288,13,5.0,3,1,1,0,0
289,56,5.0,3,1,8,0,0
290,36,11.0,1,1,7,0,0
291,26,12.0,2,1,2,0,0
292,52,3.0,2,1,1,1,0
293,40,12.0,3,0,3,0,0
294,55,4.0,3,0,2,1,0
295,23,8.0,2,1,3,0,0
296,48,7.0,1,0,7,0,0
297,45,9.0,2,1,1,1,0
298,29,14.0,2,1,3,0,0
299,54,10.0,2,1,2,1,0
300,30,7.0,1,1,1,0,0
301,45,4.0,2,1,8,1,0
302,13,7.0,1,1,1,0,0
303,17,5.0,1,1,2,1,0
304,24,12.0,2,1,2,1,0
305,22,3.0,3,1,3,1,0
306,43,4.0,1,1,3,0,0
307,30,14.0,3,1,7,1,0
308,56,6.0,2,1,7,0,0
309,16,2.0,3,1,3,0,0
310,13,3.0,3,1,1,0,0
311,34,3.0,2,1,1,1,0
312,39,14.0,3,1,7,1,0
313,35,3.0,1,1,7,0,0
314,29,9.0,2,1,2,1,0
315,59,3.0,3,1,8,0,0
316,10,15.0,3,1,1,1,0
317,54,6.0,3,1,1,1,0
318,38,15.0,1,1,3,1,0
319,49,10.0,3,1,1,1,0
320,35,9.0,3,0,1,0,0
321,5,4.0,1,1,3,1,0
322,27,11.0,3,1,7,0,0
323,35,4.0,2,1,3,0,0
324,6,15.0,1,1,1,1,0
325,38,9.0,1,1,3,1,0
326,12,12.0,1,1,3,1,0
327,8,8.0,2,1,3,1,0
328,42,3.0,1,1,8,1,0
329,9,10.0,1,1,2,0,0
330,18,11.0,3,1,2,1,0
331,24,5.0,3,1,1,0,0
332,55,9.0,1,1,8,1,0
333,17,15.0,3,1,7,0,0
334,56,9.0,1,1,2,0,0
335,24,7.0,1,0,3,0,0
336,14,14.0,3,1,3,0,0
337,42,11.0,1,1,3,0,0
338,31,10.0,1,1,2,0,0
339,31,10.0,2,1,7,0,0
340,24,8.0,1,1,7,0,0
341,18,6.0,2,1,1,0,0
342,11,4.0,2,1,7,1,0
343,14,4.0,3,1,1,1,0
344,12,5.0,3,1,7,1,0
345,37,3.0,1,1,3,1,0
346,45,4.0,1,1,7,0,0
347,39,14.0,3,1,1,0,0
348,25,11.0,2,1,8,1,0
349,12,11.0,2,1,3,0,0
350,38,11.0,3,1,7,0,0
351,14,5.0,2,1,7,0,0
352,10,14.0,2,1,2,1,0
353,52,8.0,2,0,8,1,0
354,47,9.0,1,0,8,0,0
355,30,7.0,2,1,1,1,0
356,21,8.0,2,1,8,0,0
357,54,12.0,1,1,7,0,0
358,14,15.0,2,1,8,0,0
359,8,11.0,1,1,1,0,0
360,57,13.0,3,1,7,0,0
361,5,13.0,1,0,1,0,0
362,8,9.0,3,1,7,0,0
363,43,5.0,2,1,1,1,0
364,5,3.0,3,1,1,1,0
365,42,8.0,1,1,3,0,0
366,39,5.0,3,1,3,0,0
367,33,9.0,1,1,7,0,0
368,48,11.0,2,1,2,0,0
369,48,3.0,1,1,3,1,0
370,39,6.0,3,1,7,1,0
371,29,2.0,3,1,7,1,0
372,55,3.0,2,1,8,1,0
373,43,4.0,1,1,7,0,0
374,33,14.0,1,1,7,1,0
375,15,9.0,2,1,2,1,0
376,39,10.0,2,0,8,0,0
377,56,6.0,3,1,2,1,0
378,5,14.0,1,1,3,1,0
379,44,3.0,1,1,2,1,0
380,43,2.0,3,1,1,0,0
381,28,13.0,3,1,3,0,0
382,33,6.0,2,1,7,0,0
383,38,8.0,3,1,7,0,0
384,48,9.0,2,1,8,1,0
385,12,12.0,3,1,7,0,0
386,54,12.0,1,1,7,0,0
387,52,11.0,3,1,7,1,0
388,56,7.0,3,1,8,0,0
389,6,15.0,1,1,2,0,0
390,11,7.0,1,1,8,0,0
391,60,8.0,1,1,7,1,0
392,5,14.0,2,1,7,1,0
393,20,5.0,3,0,3,0,0
394,28,3.0,3,1,1,1,0
395,20,15.0,2,1,3,0,0
396,8,5.0,1,0,7,0,0
397,21,7.0,1,1,2,0,0
398,38,3.0,3,1,2,0,0
399,21,11.0,3,1,3,1,0
400,35,3.0,3,1,7,0,0
401,31,5.0,2,0,7,0,0
402,42,4.0,1,1,1,1,0
403,36,5.0,1,1,3,1,0
404,57,8.0,2,1,8,1,0
405,58,15.0,2,1,2,0,0
406,50,6.0,3,1,2,1,0
407,17,4.0,3,1,7,1,0
408,43,14.0,2,1,2,0,0
409,35,2.0,1,1,1,1,0
410,12,15.0,2,1,7,0,0
411,59,15.0,1,1,2,1,0
412,30,12.0,2,1,8,0,0
413,23,9.0,3,1,7,1,0
414,36,12.0,1,1,7,1,1
415,44,15.0,1,1,7,1,1
416,55,14.0,1,1,3,1,0
417,51,4.0,2,1,1,1,0
418,44,6.0,2,1,7,1,0
419,5,2.0,1,1,7,1,0
420,44,12.0,1,1,3,1,0
421,36,8.0,3,1,8,0,0
422,23,6.0,3,1,2,0,0
423,14,11.0,1,1,1,0,0
424,49,14.0,2,1,1,0,0
425,50,9.0,3,1,2,1,0
426,14,8.0,3,1,8,0,0
427,20,6.0,2,1,8,1,0
428,28,14.0,1,1,7,1,1
429,7,9.0,1,1,1,1,0
430,15,9.0,1,1,2,0,0
431,41,5.0,3,1,8,1,0
432,12,12.0,2,1,8,0,0
433,17,3.0,2,0,3,0,0
434,45,14.0,2,1,8,0,0
435,44,3.0,2,1,8,1,0
436,19,9.0,3,1,3,1,0
437,46,14.0,3,1,7,0,0
438,48,15.0,2,1,2,1,0
439,8,3.0,1,1,8,0,0
440,16,4.0,3,1,7,1,0
441,56,7.0,3,1,7,0,0
442,54,3.0,3,1,8,1,0
443,18,12.0,2,1,2,0,0
444,42,10.0,3,1,2,1,0
445,15,3.0,3,1,2,1,0
446,50,12.0,2,0,3,1,0
447,57,3.0,1,1,8,1,0
448,41,11.0,3,1,2,0,0
449,9,11.0,3,1,8,0,0
450,24,10.0,3,1,8,0,0
451,41,10.0,2,1,8,1,0
452,32,15.0,2,0,1,1,0
453,34,11.0,3,1,2,0,0
454,20,9.0,3,1,8,1,0
455,18,13.0,1,1,1,1,0
456,10,8.0,3,1,7,1,0
457,7,10.0,1,1,1,0,0
458,30,11.0,1,1,8,1,0
459,6,12.0,3,1,3,0,0
460,5,12.0,2,1,7,0,0
461,57,14.0,3,1,2,1,0
462,42,11.0,3,1,1,1,0
463,55,3.0,2,1,1,1,0
464,57,10.0,1,1,8,0,0
465,30,8.0,1,1,8,0,0
466,14,4.0,2,1,1,0,0
467,10,13.0,1,0,8,1,0
468,28,6.0,2,1,8,1,0
469,42,5.0,3,1,7,0,0
470,46,3.0,3,1,8,1,0
471,45,5.0,3,1,2,0,0
472,22,10.0,3,1,8,0,0
473,53,12.0,2,1,8,1,0
474,39,9.0,1,1,3,1,0
475,7,15.0,3,1,3,0,0
476,25,4.0,3,1,3,0,0
477,38,3.0,3,1,8,0,0
478,32,14.0,2,1,3,1,0
479,55,8.0,3,1,1,0,0
480,50,9.0,2,0,3,1,0
481,48,9.0,2,1,2,1,0
482,42,3.0,3,1,2,1,0
483,11,7.0,2,1,1,0,0
484,46,13.0,2,1,8,1,0
485,44,2.0,3,1,8,1,0
486,25,13.0,1,1,1,0,0
487,29,2.0,3,1,1,1,0
488,20,14.0,3,1,3,0,0
489,41,11.0,2,1,3,1,0
490,53,4.0,2,1,3,1,0
491,56,12.0,2,1,8,1,0
492,58,3.0,2,1,7,0,0
493,17,3.0,1,1,2,1,0
494,56,2.0,3,1,3,1,0
495,45,3.0,1,1,3,0,0
496,57,11.0,1,0,7,1,0
497,37,5.0,3,1,3,0,0
498,46,12.0,3,1,7,0,0
499,31,10.0,1,1,1,0,0
500,26,5.0,3,1,1,0,0
501,11,11.0,1,1,3,0,0
502,30,6.0,2,1,3,0,0
503,7,12.0,2,1,7,0,0
504,21,6.0,2,1,3,0,0
505,58,4.0,2,1,2,1,0
506,59,5.0,1,1,2,1,0
507,39,12.0,2,1,2,0,0
508,45,10.0,2,1,8,1,0
509,30,14.0,1,1,2,1,0
510,41,15.0,1,1,1,1,0
511,53,11.0,2,1,1,0,0
512,12,8.0,3,1,3,0,0
513,15,14.0,1,1,1,0,0
514,44,9.0,3,1,7,0,0
515,8,3.0,2,1,8,1,0
516,32,15.0,1,1,3,0,0
517,26,6.0,2,1,3,1,0
518,49,4.0,1,1,7,0,0
519,39,14.0,3,1,7,0,0
520,16,7.0,3,1,2,1,0
521,39,6.0,2,1,2,1,0
522,16,9.0,1,1,8,1,0
523,12,2.0,3,1,3,1,0
524,11,12.0,1,1,2,1,0
525,19,11.0,3,1,2,1,0
526,27,8.0,2,1,3,1,0
527,44,9.0,2,1,3,0,0
528,12,8.0,2,0,8,0,0
529,45,2.0,2,1,8,0,0
530,30,15.0,3,1,8,0,0
531,11,10.0,1,1,1,1,0
532,17,10.0,3,1,3,1,0
533,30,8.0,3,1,7,0,0
534,58,10.0,3,1,7,0,0
535,54,2.0,1,1,2,0,0
536,27,3.0,2,1,8,0,0
537,36,12.0,3,0,8,1,0
538,5,3.0,2,1,7,1,0
539,25,15.0,2,1,7,0,0
540,53,14.0,3,1,1,0,0
541,42,2.0,3,1,2,1,0
542,23,9.0,1,0,8,1,0
543,49,5.0,2,1,7,0,0
544,40,9.0,3,1,1,1,0
545,15,13.0,3,1,3,0,1
546,49,11.0,3,1,2,0,0
547,55,11.0,3,1,2,0,0
548,43,8.0,2,1,3,0,0
549,15,6.0,3,1,1,0,0
550,44,11.0,3,1,2,1,0
551,38,15.0,2,1,1,0,0
552,21,3.0,3,1,7,0,0
553,34,4.0,1,1,3,0,0
554,40,6.0,3,1,2,1,0
555,17,7.0,3,1,2,1,0
556,26,13.0,2,1,3,0,0
557,5,11.0,1,1,1,0,0
558,11,8.0,3,1,7,1,0
559,31,13.0,2,0,7,1,0
560,42,10.0,3,0,3,1,0
561,19,11.0,1,1,7,0,0
562,43,15.0,3,1,1,0,0
563,48,15.0,1,1,2,0,0
564,59,10.0,2,0,1,1,0
565,20,4.0,2,1,3,0,0
566,17,14.0,1,1,3,1,0
567,56,10.0,1,1,8,1,0
568,46,8.0,2,1,1,0,0
569,32,4.0,2,1,1,1,0
570,11,10.0,1,1,7,1,0
571,25,9.0,3,0,8,1,0
572,41,15.0,3,1,8,0,0
573,7,11.0,1,1,3,1,0
574,34,7.0,2,1,2,1,0
575,16,8.0,3,1,8,1,0
576,32,5.0,3,1,2,1,0
577,32,14.0,2,1,1,0,0
578,46,4.0,2,1,1,0,0
579,46,11.0,2,0,1,1,0
580,50,5.0,3,1,1,1,0
581,47,11.0,3,1,1,1,0
582,52,11.0,2,1,7,1,0
583,51,2.0,3,1,1,1,0
584,35,7.0,3,1,2,1,0
585,9,11.0,1,1,8,0,0
586,31,15.0,1,1,1,1,0
587,13,10.0,1,1,3,0,0
588,47,3.0,1,1,1,0,0
589,58,4.0,3,0,3,1,0
590,25,3.0,3,1,1,1,0
591,29,12.0,2,1,1,0,0
592,14,3.0,2,1,7,0,0
593,29,6.0,2,0,8,0,0
594,60,11.0,2,1,8,1,0
595,32,15.0,3,1,3,0,0
596,52,4.0,3,1,8,1,0
597,27,13.0,2,1,1,0,0
598,35,14.0,1,0,3,1,0
599,39,4.0,1,1,8,0,0
600,60,6.0,2,1,1,1,0
601,11,4.0,3,1,1,0,0
602,29,11.0,2,1,8,0,0
603,28,13.0,1,1,1,1,0
604,34,11.0,3,1,1,0,0
605,55,10.0,3,1,1,0,0
606,23,3.0,3,1,2,0,0
607,56,14.0,2,1,2,1,0
608,28,15.0,1,1,2,1,0
609,56,3.0,2,0,7,1,0
610,37,11.0,2,1,3,0,0
611,6,12.0,1,1,7,1,0
612,14,6.0,2,1,1,0,0
613,37,6.0,2,1,1,1,0
614,46,3.0,2,1,8,0,0
615,13,4.0,2,1,8,0,0
616,58,12.0,1,0,1,1,0
617,22,15.0,3,1,8,0,0
618,7,10.0,3,1,7,0,0
619,51,13.0,1,1,3,1,1
620,58,6.0,2,1,3,0,0
621,45,9.0,2,1,2,1,0
622,13,4.0,2,1,2,0,0
623,48,2.0,1,1,8,0,0
624,51,8.0,2,1,2,1,0
625,11,4.0,3,0,2,0,0
626,7,2.0,1,1,2,1,0
627,10,6.0,1,1,3,0,0
628,42,12.0,3,1,2,0,0
629,54,4.0,2,1,1,1,0
630,48,7.0,1,1,7,1,0
631,16,3.0,1,1,1,1,0
632,17,13.0,3,1,3,1,0
633,51,9.0,3,1,2,1,0
634,34,6.0,1,1,7,0,0
635,8,6.0,2,1,2,1,0
636,14,6.0,2,1,2,1,0
637,31,13.0,1,1,1,0,0
638,30,8.0,2,0,1,1,0
639,41,15.0,2,1,7,0,0
640,48,5.0,2,1,8,0,0
641,11,8.0,3,0,7,0,0
642,60,10.0,3,1,8,0,0
643,43,12.0,3,1,8,1,0
644,57,11.0,1,1,3,0,0
645,12,15.0,1,1,1,0,1
646,28,4.0,3,1,3,1,0
647,36,6.0,2,1,8,1,0
648,15,13.0,2,1,2,1,0
649,29,6.0,3,1,2,1,0
650,26,7.0,2,1,7,1,0
651,15,4.0,3,0,2,0,0
652,47,8.0,3,0,1,0,0
653,45,9.0,2,1,3,0,0
654,51,10.0,3,1,1,0,0
655,55,15.0,3,1,8,0,0
656,59,10.0,2,1,7,0,0
657,11,11.0,1,1,8,1,0
658,49,7.0,2,1,3,0,0
659,18,7.0,3,1,2,0,0
660,32,5.0,1,1,1,0,0
661,27,13.0,1,1,7,0,0
662,48,15.0,2,1,2,1,0
663,49,10.0,3,1,7,0,0
664,59,5.0,2,1,1,0,0
665,15,5.0,2,1,7,1,0
666,52,6.0,1,1,8,1,0
667,21,4.0,1,1,2,1,0
668,18,4.0,2,0,8,1,0
669,41,7.0,3,1,8,1,0
670,24,5.0,2,1,8,0,0
671,18,4.0,3,0,7,1,0
672,55,2.0,2,1,1,0,0
673,26,15.0,1,1,3,1,0
674,32,15.0,2,1,2,1,0
675,46,15.0,2,1,3,0,0
676,39,6.0,3,1,7,0,0
677,46,3.0,2,1,8,0,0
678,21,9.0,1,1,3,1,0
679,50,10.0,1,1,2,1,0
680,6,10.0,3,1,1,0,0
681,7,3.0,3,1,8,0,0
682,30,2.0,2,1,8,0,0
683,53,7.0,3,1,1,0,0
684,50,13.0,2,1,1,1,0
685,55,4.0,1,1,1,0,0
686,54,6.0,1,1,3,0,0
687,27,11.0,3,1,8,1,0
688,50,2.0,2,1,1,0,0
689,39,6.0,2,1,1,0,0
690,29,5.0,3,1,3,1,0
691,9,12.0,2,1,8,1,0
692,26,11.0,2,1,7,1,0
693,58,6.0,1,1,3,0,0
694,37,9.0,3,1,8,1,0
695,21,11.0,1,1,2,1,0
696,54,11.0,1,1,3,0,1
697,19,10.0,3,1,3,0,0
698,26,4.0,2,1,2,0,0
699,40,10.0,3,1,3,1,0
700,57,10.0,1,1,1,1,0
701,46,8.0,1,1,7,1,0
702,48,10.0,3,1,8,1,0
703,12,12.0,3,1,3,0,0
704,24,14.0,3,1,1,1,0
705,44,6.0,2,0,1,1,0
706,59,7.0,1,1,1,0,0
707,9,9.0,3,1,8,1,0
708,48,10.0,1,1,1,0,0
709,37,13.0,3,1,2,0,0
710,55,9.0,3,1,2,0,0
711,38,14.0,1,0,7,1,0
712,45,6.0,2,1,8,0,0
713,14,4.0,3,1,3,1,0
714,23,14.0,1,1,3,1,0
715,18,12.0,3,1,7,0,0
716,32,15.0,3,1,8,1,0
717,55,14.0,1,1,7,0,0
718,52,11.0,3,1,1,0,0
719,59,13.0,3,1,2,0,0
720,50,10.0,1,1,3,0,0
721,60,2.0,2,1,1,1,0
722,36,3.0,1,1,7,1,0
723,27,12.0,1,1,7,0,0
724,49,6.0,2,1,8,1,0
725,48,15.0,2,1,7,0,0
726,40,10.0,1,1,1,1,0
727,7,14.0,3,1,1,0,0
728,7,3.0,1,1,7,1,0
729,60,5.0,1,1,3,1,0
730,29,9.0,2,1,3,0,0
731,31,4.0,2,1,8,1,0
732,15,11.0,3,1,2,1,0
733,15,5.0,1,0,1,0,0
734,36,13.0,2,1,2,0,0
735,36,4.0,1,1,2,1,0
736,10,11.0,3,1,1,1,0
737,49,2.0,2,1,3,0,0
738,14,2.0,2,1,3,0,0
739,11,12.0,1,1,1,1,0
740,5,9.0,3,1,2,1,0
741,15,4.0,2,0,1,1,0
742,8,3.0,3,1,3,0,0
743,46,5.0,2,1,8,1,0
744,36,9.0,2,1,3,0,0
745,24,10.0,1,1,2,0,0
746,20,14.0,3,1,3,1,0
747,50,9.0,1,1,1,0,0
748,13,2.0,1,1,7,0,0
749,55,12.0,2,1,1,0,0
750,10,15.0,3,1,3,0,0
751,8,5.0,3,0,3,0,0
752,26,3.0,3,1,2,0,0
753,32,5.0,2,0,3,0,0
754,44,11.0,2,1,3,1,0
755,50,13.0,1,1,2,1,0
756,7,12.0,1,1,1,1,0
757,60,10.0,2,1,2,0,0
758,12,14.0,1,1,2,0,0
759,54,3.0,3,1,2,0,0
760,33,8.0,2,1,2,1,0
761,11,15.0,2,1,3,0,0
762,30,9.0,2,1,8,0,0
763,60,5.0,2,1,7,1,0
764,22,6.0,2,1,7,1,0
765,28,5.0,1,1,8,1,0
766,22,14.0,2,1,1,0,0
767,23,7.0,3,1,1,0,0
768,12,13.0,1,1,2,1,0
769,11,12.0,1,1,8,1,0
770,50,14.0,1,1,2,0,0
771,16,13.0,1,1,7,1,0
